,target,v1,v2,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v23,v25,v26,v27,v28,v29,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v48,v49,v50,v51,v53,v54,v55,v57,v58,v59,v60,v61,v62,v63,v64,v65,v67,v68,v69,v70,v72,v73,v76,v77,v78,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v108,v109,v111,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v126,v127,v128,v129,v130,v131
target,1.0,-0.004989877441079155,0.030326076197950465,0.04702647165640558,0.0182166398845186,0.025753365039288205,0.029413910106391772,-0.021357319176064603,-0.009232491521967336,0.1216936906765351,0.010790653652403857,0.001573386732363562,-0.029034084279643064,0.10402958408954728,-0.02903397529565876,-0.007679850297827103,0.04099598636470459,-0.002785602724817674,-0.03477751591319646,0.025869976748969452,0.061568793311708225,-0.02034648959263678,-0.01588820985509781,0.02494950884054281,0.02338584379333282,-0.011228026021205035,0.017863099731364705,-0.02851969932467771,-0.0362743130462773,0.07539599010023068,-0.003985609159904021,-0.033897318983397096,-0.014644322031102705,0.07744617879657582,0.03182914487991187,-0.02042762405642387,0.008379787638223814,0.000682619010306938,0.02272447925349189,0.035731023348415276,-0.022394057791708864,-0.014189428513278363,-0.04381402320791175,-0.0010446922576681757,0.22600711797341178,-0.04003335521520845,0.0083460310151328,-0.014997996987179232,-0.0367568888612364,0.02483952718829892,-0.0264446788042503,0.0245613425378611,0.026735215481003795,0.03631620414604764,-0.10545694131452993,-0.014739821875358501,0.04163237508775985,0.032344408353585104,0.006302060713048419,-0.02158326497710659,-0.013535562208388384,-0.003925495060521675,0.06543587354998845,-0.03175413850285078,0.040529939885381214,0.004152796573177507,-0.00573581763782375,-0.025390236216473586,-0.026175425805552894,0.01696832461908351,-0.0357595370827536,-0.033308964831220984,-0.04025936217260235,-0.017634529475836606,0.025344123160297747,0.04213161046451862,-0.01568616711049809,-0.00811068794017449,-0.01186710460550907,0.04142901604780744,-0.01026038062358167,-0.02152222179830187,0.017619276187654537,0.006812428512727437,0.018718557787988355,0.028100286034060933,0.026662790906498902,0.04142884525469978,-8.09847043083623e-05,-0.013708716997205632,-0.027981728245327894,-0.015976744284433117,0.04262841860997216,0.025975176148250265,0.022963105423699448,-0.0315774780745248,0.05771255852176219,0.013295406804050084,0.018283930767871666,0.009673694098463888,0.001916217315962897,-0.045091944450596444,0.0019126954006726516,-0.034085199058480044,0.0025058339722826865,-0.04522036946630832,-0.013803835221116568,-0.001929439056727178,0.010223294834902717,0.029733857730433404,0.1560080699652559,-0.03975252339346283,0.02010561472580241
v1,-0.004989877441079155,1.0,-0.14951635267630203,-0.07531953435803139,-0.01808350212530431,0.008074120767903774,0.07530202385989596,0.14519077468458547,-0.014728393600507485,-0.018762165903504272,-0.19504243602934446,-0.016158580661374676,0.06140744138398728,-0.012558157056393671,0.03454039046410228,-0.13451559098825333,-0.08901099795542,0.0893846462358478,-0.012957016335455202,-0.12857673738929548,-0.0021825753509002958,0.06078684345838211,0.11336427207294957,0.15610097169602377,0.027791094399543085,0.06526549013327501,-0.1356733922507563,0.034556540152520285,0.2864390657092477,-0.00700488914143802,-0.07838383275668417,0.09191922353808203,0.7749695320189691,-0.011049869726350877,-0.020005928276469874,0.002708973602428731,-0.10303841600821882,0.018132850678437416,0.1769989566648876,-0.10357290726790887,-0.034955459403805615,0.1293402502339694,0.10726836495838889,-0.07065634364323833,-0.004004851481478063,0.08968035462246031,-0.12625439375802996,0.11933919962431591,0.2731833092238654,-0.006913830124416915,0.15924873322964767,-0.11837998664483362,0.034120049201731714,-0.14284429921403505,0.0012074213736586528,0.12274817651196465,-0.09342731262932807,-0.1938181493986938,-0.04269844881519515,-0.018435078361738293,0.07413661958810848,-0.03042133704061957,-0.017558215187547823,0.047890693129215206,-0.08678411656871426,-0.11118338708031777,-0.15246368689343168,0.13441032996769767,0.0496236138192761,-0.09699331168775896,0.22167236635732968,0.13201941082806995,0.15450428912203076,-0.03430282405627545,-0.043049651741534696,-0.06384641111732668,0.12696911950944836,-0.05729866067958565,-0.13662039104100002,-0.09087614228548307,0.09575035856243726,-0.07501466264068868,-0.15489078885871463,-0.0354088630881117,-0.029290508684686353,-0.08122211418273835,-0.16155701245300896,-0.11796544015262492,0.08997652695093489,0.10823455895624486,0.052610659713791,0.13508210706033022,-0.10733864535922623,-0.03305537145257749,-0.021545409869248924,0.25929491570867147,-0.003001022450737555,-0.07277599346320954,0.1137339813778207,0.026046557180735695,0.1077982883393913,0.10678369067029221,0.012815476836408,0.23386408483592216,-0.09258372299108619,0.19883804812555989,0.12078663653845813,0.054669553821378704,-0.002284369104472776,-0.0507755618969063,-0.01687003920657981,0.18576564714535987,0.5651253695884584
v2,0.030326076197950465,-0.14951635267630203,1.0,0.3792116730337836,0.11554939582437432,0.012067516760868953,0.2475577019219375,-0.3755052817250166,-0.007278534889022068,0.04235815238316568,0.1532697942547417,0.02929195574362459,-0.31302391593923146,0.04507157555471424,-0.2252980596178508,0.014412543464144932,0.4997169389541471,-0.20721264029974817,-0.3335288088301377,0.3155867182427532,0.028124582552072692,-0.1376881206384676,-0.3091735912214053,0.15887397794213928,0.16241263574762937,-0.17456059202998947,0.21285629634208542,-0.22619973941649152,-0.4436350278102433,0.058384808958766014,0.004120993438835729,-0.34356613431585376,-0.23578394971126224,0.031022483959186973,0.14338704363142216,-0.044288733212937664,0.12029678135606285,-0.05243324000580717,0.1355143726304076,0.4912459687076005,0.023136024837794814,-0.34777689805911544,-0.5256077012618946,-0.0017879065269377481,0.027330667078755155,-0.34222465533678836,0.12374031396278552,-0.30335173524009007,-0.39604387899976995,0.30519297400441076,-0.40415119883237255,0.31739091357920035,0.1954753801609687,0.5446243206231478,-0.011562925805189384,-0.3302454160299948,0.5104565112536967,0.4141351216076945,0.07347368517128684,-0.0389821515351394,-0.056784902239367725,0.05568760593410836,0.05560402502573691,-0.26465923133084496,0.4948085819569463,0.13528949612272653,-0.09804031789628787,-0.21716016580715447,-0.21414063297462388,0.27911280278372413,-0.44625608375475034,-0.3125238297664525,-0.4731916947959267,-0.09674475865053639,0.18044534118153818,0.23987539059389895,-0.27054552929464115,0.14387285945333472,-0.06311266886593003,0.2926433844419288,-0.16362928107758948,-0.16462013648530238,0.22971326327351171,0.001832021761347878,0.12483999174497612,0.1622406843251987,0.4033848887262555,0.46234050979552366,-0.16895186301175907,-0.20596029880956274,-0.2530331397188702,-0.33230838807282825,0.5469297213370681,0.20640608736270508,0.11508074223872172,-0.42332055377837935,0.04884534761402924,0.05545167199262158,0.09207373437323622,-0.01720201599178811,-0.05852273520897664,-0.3234933365206284,-0.05763942847642675,-0.4318124345782304,0.12229999129854496,-0.49555830028900694,-0.2950188457203038,-0.05390018868500445,0.010804921746715091,0.21198622089423025,0.06287166579952329,-0.45736613885291816,0.12533731199910353
v4,0.04702647165640558,-0.07531953435803139,0.3792116730337836,1.0,0.19396983350077385,0.25139695762428405,0.3392493224994325,-0.22979419412956073,-0.14653035282268104,0.051857506872210024,0.08008196511996227,0.0396234004746662,-0.3779920856006294,0.07703277689727688,-0.35034231527647475,-0.1210727218348736,0.5983774666398856,-0.07476283176900374,-0.4323115432815442,0.3065028816807428,0.06314476183495776,-0.16837962280582405,-0.1574191839941149,0.36593038586396154,0.30888755055993855,-0.13230537169954948,0.18100372662194883,-0.38410070439562055,-0.4722653912243523,0.07371451324575244,-0.08328003293532231,-0.3852687190980725,-0.18831514701480012,0.0673562974448616,0.3261095488080687,-0.05074246021541139,0.05165138972945932,-0.0941509020202979,0.362244760816056,0.46115579861112815,-0.21313157752885617,-0.12651858296921703,-0.6211371080669795,-0.08626294812947048,0.03660672082599094,-0.4458864502245667,0.02215312065972314,-0.15788350597509762,-0.43217392364235674,0.29628613519965674,-0.2829221532542036,0.29007701607466907,0.39811941455344446,0.4868511008696594,-0.05246250975701149,-0.15557539611757526,0.6108079630237857,0.3935688155122796,0.025907000707540772,-0.18654727738678067,-0.08245088647915919,-0.03503405656960107,0.05122099003514902,-0.4136371855313546,0.591318361665347,0.025747422613673417,-0.029122390218646793,-0.3154860972838465,-0.2799632600055481,0.13566675542019738,-0.4472471400860379,-0.4377133713890824,-0.3799249697226293,-0.2219466634938474,0.2770273821946362,0.4967271995022402,-0.13899588322972722,-0.047612677655707016,-0.1462809770239573,0.4962675093658066,-0.1589137733946579,-0.2578899603089637,0.1695179442734157,0.1469202463784032,0.18577771011565497,0.271507113636718,0.2800222629673196,0.5478670080280731,0.03508532492334803,-0.19350733556465305,-0.31699507545654293,-0.1667277574138573,0.6290137414354967,0.32805962941883265,0.2745976238802595,-0.4395525759229988,0.05750377101063444,0.08092702998176451,0.3094413826303891,0.15009199747789367,0.09028808756708963,-0.45453180805831644,-0.025832292174777435,-0.40892448650257623,0.02072866868013863,-0.49437761640235894,-0.10819189854275,-0.057947280888407816,0.18048166554611422,0.33507934043376114,0.08899778471960057,-0.524434568005059,0.2236607157982802
v5,0.0182166398845186,-0.01808350212530431,0.11554939582437432,0.19396983350077385,1.0,0.21161215006978748,0.031789410923600755,0.07992515581341868,-0.13841914461172636,0.025097480881100864,0.07532575904952021,0.02292094554781399,0.009545955968876335,0.05989575376196075,-0.12811665614968787,-0.05534241915316891,0.328239095605723,0.2165433287266746,-0.1236000805293912,0.28027881173910224,0.06304342849384946,-0.06944110043983774,0.13923694071358975,0.21980695457770547,-0.04042953065722138,0.2477385685754363,0.30914551270872187,-0.07369340119653169,-0.22045107506417166,0.021857060396366375,0.14422115268994354,-0.37513275504347005,-0.029777722991956766,0.005356554151202312,-0.03948475196530659,-0.004339839189719336,0.24745196719026175,0.18500196509861175,0.11449790920175533,0.31890674487599296,0.006769230262464523,0.11661343330660633,-0.3125153872290451,0.16555152513431023,0.0178071022724157,-0.5454162796168163,0.03613856795997481,0.14669867553226051,-0.19307542059870095,0.09432611058974431,0.07636680501920283,0.33172983869550593,0.23390282595015544,0.15538886480167377,-0.04306508313059882,0.13521472677693236,0.3281275276957102,0.29549245072785923,0.2579268445056824,0.16295259660866243,-0.014288493534103362,0.3003519699572798,-0.004626546014334106,-0.17913360809779147,0.3262550460582719,0.3078943822473786,-0.024046965108464977,-0.2492985179388346,-0.7822394186588818,0.03359793566145447,-0.21083990332567612,-0.20659181041123087,-0.08909606875509904,0.03293995125336431,0.623968824370337,0.07755653446327765,0.15362376472043449,0.0398212271345606,0.1426129053989276,0.4633295534322243,-0.1442729874076065,0.07950354196441692,0.2867369834043722,0.25718455727281636,-0.13137679201317332,0.31561728221704605,-0.07751032504565702,0.2977509028455406,0.3559284049257648,-0.1464316478972903,0.024400065606264842,0.18143915192423185,0.30826698430361,0.5913676112205114,0.50920979706559,-0.21874386751621067,0.007814028028189276,0.014516423006158814,0.0804309012052932,0.6313435471489973,0.23439326013118206,-0.04543171763477803,-0.20217472601780526,-0.24875779265638012,0.00543551035518884,-0.17204004088094335,0.13252932626981292,-0.0964531920924121,-0.14276709611564997,0.6520935476446857,0.04239121433078298,-0.1779242455782411,0.14408817825971404
v6,0.025753365039288205,0.008074120767903774,0.012067516760868953,0.25139695762428405,0.21161215006978748,1.0,0.137400375360807,0.03584969291946984,-0.05775044543775479,0.025733410269000286,0.03892421561602178,0.023073897640160004,-0.10605127657909746,0.04685034098788862,-0.17557171289132745,-0.09732200139891703,0.23562658816467352,0.12084444853785858,-0.21871906540542796,0.20242553677062666,0.045031031287977544,-0.09074805258727137,0.05936314021449095,0.24484327171779705,0.12001968189304206,0.05831438211963354,0.19119703775789718,-0.149576343539521,-0.1644429738054328,0.019580390848430537,0.035401519993440836,-0.12739697475033737,-0.03561276034625917,0.023174713456181627,0.1405032613356812,-0.004594496158992478,0.14515237902280467,0.05100499685097376,0.1909679517240713,0.1701004018228599,-0.14917482264387721,0.08666500965725017,-0.22543143983835087,0.06582910475350663,0.01614812976559587,-0.23842656214447572,-0.0023737346927586267,0.06242126096229107,-0.16710093736784182,0.10051386463599514,0.028303471219130374,0.1656505294613394,0.253310942396715,0.15642252975818782,-0.03536926600172739,0.07337547081149669,0.23620690017804785,0.197673023387774,0.15266146932253372,-0.06166541818535242,-0.06912694031405704,0.04607870616431733,0.013203039581014398,-0.21288134602451703,0.23408920350983897,0.13805109040225186,0.016129975912437033,-0.15637562102995492,-0.20193967167770532,-0.013860592962845529,-0.1498970150195704,-0.19254064669290663,-0.05896548268921657,-0.05721926358729086,0.2145143594190572,0.20871042432116407,0.08748125190239475,-0.12944547985298654,0.011627043479038054,0.2979252413593586,-0.1498084839639098,-0.04935189688296306,0.1709536012122897,0.1887284525507394,0.017906441484932922,0.2837975109663215,-0.027301252265711205,0.19203942876688845,0.16735868433177886,-0.14334013736183082,-0.12213655951163543,0.07825678648073509,0.22794244381819748,0.22347703881251996,0.2061927596467017,-0.14319216426663905,0.008338040373932758,0.06890141577713411,0.16163133258367782,0.203247786479826,0.16506616493501686,-0.1638187912035307,-0.06681599152446684,-0.1566637732490513,0.042630333722914686,-0.14811094948744816,0.09292555422092212,-0.1041958423640595,0.060350121175313465,0.22562943460309384,0.04849515424997147,-0.1808480342849102,0.1325808266491329
v7,0.029413910106391772,0.07530202385989596,0.2475577019219375,0.3392493224994325,0.031789410923600755,0.137400375360807,1.0,-0.23022721554702863,-0.04406116423555411,0.01844586460294183,-0.14220870796686746,0.013373228665698064,-0.4294531134993126,0.01711985450949488,-0.2772546681754501,-0.03226674812561995,0.21770219300922758,-0.08562787949194062,-0.517792722402177,0.06574809329568826,0.00665893002411274,-0.09624648101838466,-0.22136060507534425,0.41389065757032334,0.5459662503130324,-0.12830405986053597,-0.07721691466972243,-0.32105857444540936,-0.21922976417687084,0.0666600264153683,-0.29223457518594403,-0.17031265752016753,-0.14691893911843829,0.032871172842753024,0.2111466607256937,-0.06284254794564403,-0.19927124446526767,-0.10644592952230394,0.521796174927583,0.21966652229750153,-0.26465878665200754,-0.19745587197679834,-0.23776854075389026,-0.295704033770223,0.013862195474592458,-0.1736964932870227,-0.15681742811619878,-0.22740607182891578,-0.20407364810367465,0.46089165660615705,-0.2866702576141454,0.03253686537526702,0.4103958393043087,0.30068502430076,0.001455961641350277,-0.21767918766305466,0.22879550655892486,0.1215631168608973,-0.17430558636563792,-0.11529837262008939,-0.043737206126864,-0.22464926254499487,0.041543881419508044,-0.2656475348250994,0.21170893630465182,-0.15615280141066581,-0.11531001835747007,-0.031340942471351683,-0.08354363484142406,0.16246134216810304,-0.2381276362996459,-0.1848078376064102,-0.2726064129361625,-0.28162550862748176,0.05526829292531991,0.24323387617292955,-0.21830776437575972,-0.06435570503003268,-0.6379064947588134,0.14652508349739968,0.16685699521117048,-0.7423487400010561,-0.11108669585959102,-0.1367904814015042,0.3656559206581619,0.05238964369289699,0.28523266492420746,0.20997889164558425,-0.1305825530602851,0.08720325425559963,-0.3350034063656975,-0.20996766947371195,0.259511715019947,0.08557645478964332,0.024455046492147213,-0.20547622173391245,0.0656108497229296,0.0444049591423573,0.4951319688817036,-0.048690313352588784,-0.175493885609525,-0.22101857007564274,-0.06823706597073473,-0.16204554585790387,-0.025474009501549447,-0.24950578216819747,-0.20542038629822168,0.23720709714360605,0.17554960659681187,0.07334935346043718,0.03516205108337688,-0.47514601714829235,0.23560093552861452
v8,-0.021357319176064603,0.14519077468458547,-0.3755052817250166,-0.22979419412956073,0.07992515581341868,0.03584969291946984,-0.23022721554702863,1.0,-0.13270070395636877,-0.027637869983693965,-0.21184870412268297,-0.015389610267478615,0.42458817955355305,-0.006806297144163473,0.21175358778006018,-0.059643758525193734,-0.13181359961093592,0.39521297756280316,0.29941827745681343,-0.17334399653811547,0.011498277074253604,0.16010673735914877,0.7585313039132715,0.005445056087407873,-0.1563452336259032,0.37161543803913133,-0.08794809478265597,0.21628741127385984,0.30635991152758824,-0.0397453132046902,-0.04615988283314672,0.37119566367426565,0.22389721685812428,-0.04545729599254329,-0.27464366614956476,0.03728780129234822,-0.06566827376057195,0.1484393081685305,-0.0087355049319993,-0.10745065563339674,-0.11163543225720593,0.7934633949930896,0.17815960435249856,0.007389782556918776,-0.014763856449631374,0.08663740789488897,-0.21316876328721485,0.7315911085220475,0.31055083844491943,-0.26853333945075303,0.5861167912426217,-0.18543250703996414,-0.022411677626356995,-0.40112164031128794,-0.02384160302257909,0.7837227965545266,-0.14721369529493156,-0.26039916563384324,0.017587899871796955,0.1811645858053098,0.1247195021230805,0.05122951248273432,-0.06116499865272843,0.21401070837953204,-0.1254118499061776,0.026512616424833126,0.09879616114881837,0.029665747155556667,0.06697895942331483,-0.4516663088749036,0.3150830300183828,0.19188082843221146,0.4193811019280641,0.14959418366737437,0.00413165510395911,-0.30048613743345604,0.74164377556252,-0.18154734487342028,0.11910717775272897,-0.007536728121280393,0.14277735242544407,0.19133803367402494,-0.1456727825659509,0.1836423253315698,-0.24562284582073768,0.0006206200326803783,-0.585329680663379,-0.23358203000969183,0.34809160659719046,0.17534663242731935,0.36997830127007125,0.8895337507496858,-0.20779003890809628,-0.08905526795762204,0.08172114696900508,0.26000724666074904,-0.0384193440308395,-0.1232308047718522,0.021966342718814483,0.28676200951661435,0.23349334161505864,0.33675638850158657,-0.005477794425006802,0.30012758059731576,-0.16594634166563052,0.3980656556623467,0.6402360093983697,0.05327336593411008,-0.02595507777414694,-0.04469504152353804,-0.026866546403893972,0.33954259349796906,-0.05004998068572778
v9,-0.009232491521967336,-0.014728393600507485,-0.007278534889022068,-0.14653035282268104,-0.13841914461172636,-0.05775044543775479,-0.04406116423555411,-0.13270070395636877,1.0,-0.01172664828422207,-0.1333583525065428,-0.008226618298941954,0.013084537517200215,-0.037704032712902395,0.3554664975726424,0.16611744786181834,-0.1639715788230925,0.009805163988993513,-0.12769540112952465,0.009335495658962528,-0.04131801158082403,-0.03282448701825132,-0.1763292721258752,-0.14955213475926085,0.01369182669764743,-0.03658350308789439,0.036246379047028814,0.37362254670115397,0.12255027327850847,-0.01610586290210886,0.018452985869174224,0.07144444452456808,0.00020810823359017366,-0.009545967409637764,0.07565001577923647,0.007300628805222544,0.032231291553666816,-0.0860140307210693,-0.18605995831775443,-0.13689852032886818,-0.022109895633335454,-0.1901081999584622,0.1725299438554176,0.023546808849316304,-0.015140219646976368,0.17802031531174195,-0.1082535998802373,-0.18869647042043672,0.09123592156931079,-0.09390892210730399,-0.008951421967872443,-0.13308889782046193,-0.15100194212596027,-0.04829540305413786,0.0406521778209906,-0.18724145360922004,-0.1645339118924295,-0.03257711476510049,0.09092817649340784,-0.13387366900171474,-0.04219925734098761,-0.06370654340081792,0.007356535064333799,0.34956853008214495,-0.1627389200229971,0.056653759895855964,-0.09405349728298047,0.27668477646774103,0.11160088247773335,0.14039082832514965,0.08746426692585116,0.19280078058176492,0.019426690632195705,0.3659359715672038,-0.14754313099270372,-0.042690377356835896,-0.1710832097853532,-0.1252589155020561,0.05755359311485082,-0.18470305917236368,-0.259711175295311,0.07195356161077099,0.005526868921529752,-0.13997579628407578,0.08300335211259409,-0.11910829041045005,0.008768177516217982,-0.1723461857004417,-0.1685682747110209,-0.2122188343663134,-0.07469801461176573,-0.16293801528863244,-0.15654579976254432,-0.1414531053860748,-0.18865770799747306,0.13411989831357377,-0.010231997729841744,0.04188996225589403,-0.1791630747912275,-0.20542846751361266,-0.13582768434587647,0.057378585135975005,0.14572959569264338,0.08096270398459046,0.6280870899876208,0.05847983723137467,-0.18957476373089752,-0.2515104629032581,0.10092723186106019,-0.16603291253250094,-0.03276873159891581,0.1164662850447559,-0.09795167899802869
v10,0.1216936906765351,-0.018762165903504272,0.04235815238316568,0.051857506872210024,0.025097480881100864,0.025733410269000286,0.01844586460294183,-0.027637869983693965,-0.01172664828422207,1.0,0.024459081044485985,0.5744299683780418,-0.028638194605462814,0.46790923349571545,-0.032422586765043525,-0.01050219486262581,0.052562658520622925,-0.008915096329567654,-0.034565045180273646,0.042440945055799775,0.20815873225906445,-0.02562595698045523,-0.018348109714785073,0.022557647641334735,0.01587994082346591,-0.01291667050240198,0.03710956434215942,-0.030430380954168685,-0.048709981283659845,0.15310898912020393,0.00990116774451143,-0.042663505185553466,-0.024209269399327223,0.021734197487955593,0.032556920295228046,0.0973730452751467,0.027386620552166594,0.0029580780997556493,0.013414668715636461,0.04848213726044301,-0.011575050838298007,-0.020663760759532638,-0.05527223497863267,0.01053365197694548,0.3074192021042013,-0.050069716078242045,0.01748967875077403,-0.0198609752094198,-0.04684726986121587,0.02143439860160273,-0.037525293286729676,0.044621166334999046,0.02814360054775606,0.04680114361086818,-0.3003980991227781,-0.019425020871118595,0.05330017079342377,0.04934371687475084,0.021324544786511926,-0.016117359285851424,-0.012700855547220335,0.011674784619341834,0.041604832350297334,-0.04014002497525808,0.05206529645046851,0.021410777010883168,0.00021707172852920582,-0.03923627250654701,-0.03367654111206981,0.022284136445285853,-0.04604633995496008,-0.04507745130824271,-0.04944992686479561,-0.010673836125401561,0.03178416691650756,0.04798159237006365,-0.01889696951363393,-0.00025336797459856694,0.00741454473683677,0.05307162668669655,-0.026960981195294848,-0.00662394466742262,0.03849603116479335,0.017096207829125538,0.004485463540018015,0.03594740224163884,0.03732214813963939,0.05447424547734639,0.007583290193417674,-0.028351177683852903,-0.028157631465477756,-0.020925020892003085,0.05448201657176682,0.03630770632996757,0.027532239471145876,-0.04550980134193176,-0.04007885917200671,0.012510076236759097,0.008620344003755491,0.014619202266867703,0.008286406900360851,-0.055484061743615656,-7.477496156079175e-05,-0.047449421688274936,0.010383244872459063,-0.056657020237370584,-0.017888482534150436,-0.014400948695838606,0.005922027293278854,0.03663797613799423,0.3554300212003803,-0.04415471930350597,0.01157536885733101
