,target,v1,v2,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v23,v25,v26,v27,v28,v29,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v48,v49,v50,v51,v53,v54,v55,v57,v58,v59,v60,v61,v62,v63,v64,v65,v67,v68,v69,v70,v72,v73,v76,v77,v78,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v108,v109,v111,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v126,v127,v128,v129,v130,v131
target,1.0,-0.008114317007677695,0.036567924016580905,0.05984214899401195,0.022336399712732102,0.030610271380953066,0.03337006646127148,-0.011442150102107024,-0.012566305215448265,0.14868021196052011,0.011785540570145565,0.05470997940781475,-0.025254103166080972,0.13067048852505017,-0.03243631814613389,-0.009691738588680011,0.047620186428792656,0.003964636753505177,-0.010894320735535024,0.028478343400964102,0.06763439568866536,-0.032675226825614766,-0.008078628860643436,0.03000414922123809,0.028798008688792887,-0.012980240271784968,0.023228980730375864,-0.03227733469093647,-0.04621345185212852,0.09588437423546185,-0.0028627754759497316,-0.040873128954705934,-0.02144531006481256,0.06186341923838415,0.022624563672555602,-0.031080064966194452,0.010202391734053488,-0.0010526001133421626,0.02887005146647889,0.04661560197096214,-0.02862550339825774,-0.009906559406562883,-0.05549337994370792,-0.0024671350132191923,0.24168273407851085,-0.049182818727995105,0.008830026749341613,-0.005124950408587581,-0.045500232693260645,0.027220765468458516,-0.03239186325662521,0.03077576941985423,0.03239334460278747,0.047781214780211335,-0.09370881393142984,-0.010365831579525808,0.050930674700252705,0.040020840700913565,0.006418214603997099,-0.021592118444222593,-0.012038709500158446,-0.0038669896402760305,0.07524105478906809,-0.036793230879428,0.04507820914127177,0.006359180710148968,-0.00813600995038795,-0.02825020051978335,-0.03172810841062275,0.020322260165192733,-0.04534872791631027,-0.04000825449619738,-0.0508197886359305,-0.018913773450806158,0.03174055485600214,0.04402769933945312,-0.00540704531935435,-0.011762994132093092,-0.009706855867707411,0.05170802824386007,-0.010085486138747237,-0.019217399153050988,0.023411898586900074,0.010521568133730385,0.0230684059527533,0.03292522318585601,0.03256507975070796,0.050835434882369204,0.00972820981090454,-0.017448043310384555,-0.022747449367053436,-0.004770671805759502,0.054225548154972825,0.03289860567702529,0.03111393692362482,-0.04086018008964914,0.07578596035956991,0.011770592866489234,0.02353231341264247,0.013874776394925884,0.004366144545161291,-0.05857785631542852,0.0002205304132070193,-0.044467459038305394,0.003251493454910018,-0.05594014269223362,-0.00676988917304626,0.000537047318170401,0.013985700400503703,0.034044588139975206,0.14214066798069558,-0.04625223185735239,0.02753805462807887
v1,-0.008114317007677695,1.0,-0.21364630596307582,-0.14158812597119333,-0.0670139906401312,-0.01581837166244685,0.09984609481732738,0.15413445187483615,-0.021217352134437706,-0.019901702226720795,-0.26756466668050327,-0.018406030191193228,0.059750761125273125,-0.018212262571324234,0.05509860212139198,-0.20431788614137977,-0.0969242526572437,0.09828460097406543,-0.01309564116871577,-0.17923573420951236,-0.0034827891436667595,0.18321000572019305,0.16449034057801631,0.2224385262127808,0.04071844847643046,0.044480271108904,-0.20928767281722202,0.03908896640321656,0.4246498166350492,-0.013782622286832294,-0.09568305451500399,0.12215189021239707,0.893554270191421,-0.014742174076739223,0.06253343722643201,0.004496899183347904,-0.14096579970348394,0.02461938877893945,0.24344097252629593,-0.17998062677722695,-0.026895900865038475,0.15424841342324763,0.18165696653384503,-0.08119350692446771,-0.008457467149743903,0.18707267198299013,-0.1641653279945484,0.16978448681259228,0.4026715554427115,-0.009137636970468183,0.24410404553471857,-0.18323871660970525,0.02872082950742584,-0.23566283998432036,-0.0004264950300393093,0.1609595070868282,-0.1284451594395792,-0.29004442354430227,-0.053289010749898016,-0.0748147476964958,0.1063030633223782,-0.04542461412380667,-0.026569170832744314,0.06945347456973283,-0.07885743112583893,-0.17507269723087485,-0.22624236399088915,0.1782325758447166,0.0969435891640603,-0.1561467725237737,0.33913489709731465,0.19508891998571504,0.25514079478107293,-0.05093480356481947,-0.06977002981495106,-0.08163944308852354,0.1829386349680671,-0.04752703211583895,-0.1733822520375491,-0.13358657559352932,0.10455397802739928,-0.09601521759529857,-0.2335462802010207,-0.06259070287560166,-0.05784239491269516,-0.13709709338540185,-0.24602255427015293,-0.1766095462383236,0.16791779267137502,0.14263607671358397,0.047405588180371175,0.15283369139950745,-0.19080166073878826,-0.030466210314898556,-0.0003560408501911741,0.3915297740383311,-0.0076772644973273855,-0.10506482297755664,0.1379809300157097,0.0368653945308016,0.1812649580327707,0.21923494075316208,0.04773803392075107,0.35405684794609005,-0.12900515536735227,0.3005727811835001,0.1499969315961407,0.032008544742916686,-0.007216009005102991,-0.031952713877587885,-0.023629812714364373,0.2616384211135465,0.6953827876818967
v2,0.036567924016580905,-0.21364630596307582,1.0,0.5378298409313246,0.20335031482038024,0.0219729660520549,0.35038996608504386,-0.3627055843199743,-0.00877610534863511,0.05005399431096115,0.21905187188983555,0.03845475394327784,-0.42756644597283944,0.0609444515805122,-0.33020690308133854,0.023800270810032408,0.5626257342949537,-0.21967468657535522,-0.23109109504038028,0.4183035295415134,0.03734536902395265,-0.31872976836693107,-0.32844361469293637,0.22169787696643764,0.23251407918900335,-0.245569687341177,0.3026791905685119,-0.32040726384532264,-0.5895023794935507,0.08891886359732451,-0.017979440482149733,-0.47845239230624564,-0.3332288300890618,0.04776144120488552,0.08015568992083913,-0.0668408854852249,0.15180990817938053,-0.10486727651844308,0.18750132043862186,0.6418722442384208,-0.0026856962282097293,-0.3513158925608622,-0.6844935387996135,-0.03019417169362337,0.03925315781807551,-0.49247561481110425,0.18128122535085245,-0.2957255216562899,-0.5375117105995803,0.43556559038128606,-0.5711826172306332,0.44032197386565425,0.2699526674009514,0.6961915896632245,-0.005161246778213812,-0.34877615275317386,0.6258999423281565,0.548487279681191,0.08790200734894278,-0.04204108293835662,-0.08257655048136502,0.04287700779561676,0.0796983006768977,-0.38415503893235,0.5196143337531401,0.18092967650149683,-0.1333307975958298,-0.29892234011389696,-0.32096727311664763,0.3913091057149952,-0.5876227640641064,-0.44462613510536475,-0.6257059914581721,-0.16294433365931843,0.2722905598580866,0.30323839130866104,-0.30312877970776125,0.14459137831376273,-0.13398731495710656,0.3952183620560089,-0.25177854898935453,-0.251754548962303,0.3218118000238025,-0.0036315941031584234,0.20722586418356068,0.22534656634665332,0.5716503576842509,0.6353722759393807,-0.18589513419913023,-0.31928390789608974,-0.3490133925581137,-0.28809720888729456,0.717064525353396,0.27404366491487975,0.1855922039857857,-0.5681521665340292,0.0756396601092608,0.081415423534552,0.1307086549640161,-0.0022154326834794035,-0.09357239880621779,-0.5047595950161298,-0.10740347997991634,-0.5731124744651314,0.16955806019913147,-0.5924840508901328,-0.2564561630111181,-0.10312183029991999,0.009512783923579297,0.2653144696471665,0.07437315647182328,-0.5786206275368783,0.1769266217038317
v4,0.05984214899401195,-0.14158812597119333,0.5378298409313246,1.0,0.26745390686925335,0.374942425524708,0.47510385400668864,-0.16426616498207844,-0.21069050602210035,0.08219612460145136,0.11827477401884597,0.06591210756024454,-0.45785135132379634,0.13313675367826577,-0.4682487627089196,-0.15343771010544544,0.776384339003228,-0.031034557055997718,-0.2777617570758898,0.45941855358611333,0.10887320448695546,-0.45811996141076744,-0.08754809536974117,0.5175469743395681,0.4444910701738884,-0.17258656626140612,0.30600013807237997,-0.48696834480249795,-0.6846301660099838,0.11569856818311354,-0.13302642381378202,-0.5497847135720055,-0.3235477851660215,0.07561091211748312,0.27985705845845493,-0.0787316194799203,0.08296614889665016,-0.16340888504241605,0.5133921476084199,0.708639649777572,-0.3623018098359894,-0.11010452436167248,-0.8436631641570184,-0.1386441333386089,0.05811784585434892,-0.6607090580146117,0.037682694351114245,-0.04622641217626597,-0.6407874262372186,0.4214320819220133,-0.41589086003239273,0.4421486350950242,0.5588842481217395,0.7028561339823928,-0.05733529231492574,-0.11989774949229506,0.8175911457009986,0.5968597264926635,0.04993289364654624,-0.25474625917851046,-0.11472195321220702,-0.07896232206973004,0.08072243944280595,-0.5561126153221123,0.7426278639182787,0.06330054035106458,-0.0452313972099472,-0.4462948268786316,-0.42453256946750584,0.21388210406800298,-0.6552297495991803,-0.6175630887969858,-0.5847943237056307,-0.27714848523711444,0.4238982251194803,0.6335717097993131,-0.054427250089854946,-0.13272852465368862,-0.21055660877464805,0.734509203708656,-0.27137009559968206,-0.34883080849969583,0.28155710286944147,0.2356905536605006,0.28543055928303795,0.38021496840034363,0.41247523490645815,0.7580078986678958,0.1554207665613434,-0.33904075130832784,-0.39101698223798725,-0.03262797867390152,0.8430433966907658,0.49581036597988626,0.44583639792947866,-0.6413793137276376,0.0898052874139837,0.11321298913630855,0.44636753214631336,0.26659669277446185,0.1390531733190444,-0.6880240140268732,-0.03635018960375095,-0.6183410904134906,0.040576096145527006,-0.712459991108562,-0.04788335701777504,-0.11663756373605721,0.2974710734013018,0.4938560954700424,0.10478210589595892,-0.7034860564675424,0.31398430240731107
v5,0.022336399712732102,-0.0670139906401312,0.20335031482038024,0.26745390686925335,1.0,0.24309749515490153,0.05323876822892949,0.0012961146981450467,-0.17457244862978855,0.046747968001254525,0.11710184004902682,0.041340670560102176,-0.012208804070877976,0.09004575037815507,-0.15694675544576303,-0.035455805595905936,0.421427526256773,0.2103063901277011,-0.08266177183479984,0.37529249337925696,0.0839723288065896,-0.1283536014095784,0.058737500102432075,0.25498165978283266,-0.05673942623899118,0.3494289090095863,0.4197072279432426,-0.08638047399857765,-0.3189531683895662,0.032142788745299994,0.1992198687059839,-0.44040920373206394,-0.08821167630343897,-0.01746474711811921,-0.09338939396742135,-0.010306148301691125,0.3367569101826245,0.23110800715520177,0.120653272246255,0.4369320230711733,0.026455491754318505,0.024175899219026267,-0.42535006832009054,0.21640192925478136,0.024394742751156263,-0.7030320560475797,0.07378476179310478,0.08490453866139222,-0.29021222830009236,0.14767996923977558,0.008684805749748408,0.47419244692162804,0.2748858331076321,0.26826152241181894,-0.03781454953648571,0.03120326838245741,0.44214366083949147,0.41059720588424337,0.34046019938770977,0.18341620014871488,-0.02097890940932965,0.41362786770689647,-0.004850686257358298,-0.22252961375670505,0.3997395598834556,0.4201873828163829,-0.0572308762537307,-0.3284053307917437,-0.9055175089881555,0.21774970335243216,-0.3100419241819139,-0.2766906626890274,-0.16883525490035067,0.03476913564201297,0.7287731089221965,0.025469569731302863,0.0733397740279542,0.05622626776354173,0.14559739534092986,0.5245929090958722,-0.18838284909387829,0.0726779572753417,0.39968968347148814,0.29476542210754836,-0.1665867802841726,0.3971576443419576,-0.009863016860216652,0.4215164703694179,0.32891652007862243,-0.21861132619375032,0.004313711967665332,0.09399334266261657,0.4202743893097286,0.614873819586506,0.41904011064855284,-0.3078593402588356,0.016533830872763344,0.02131413981486284,0.07663774368839563,0.5621688268936051,0.25929616405974065,-0.1121885141898363,-0.29276037977578195,-0.3543219800601575,0.008617852208429455,-0.23351149011652056,0.07604141693018383,-0.09889449416211757,-0.22527062572356743,0.5948562428047338,0.04522710973486277,-0.25500324539865743,0.14784321509961085
v6,0.030610271380953066,-0.01581837166244685,0.0219729660520549,0.374942425524708,0.24309749515490153,1.0,0.19332899690868052,0.023135363744096582,-0.05675657201234774,0.04154175345572848,0.06769474128573237,0.035754791083653016,-0.17136128170781387,0.07081457608785124,-0.2350426292721627,-0.13245536294415663,0.2835610762369772,0.19147831457352502,-0.19229829654671834,0.33398769160857117,0.06322499900200933,-0.24432452180202202,0.04692997858538773,0.31417140054238024,0.2167760242919087,0.06858937074640165,0.26847716913830916,-0.19083476513825015,-0.28463001133235655,0.02765050488124486,0.020695987426157955,-0.15868395220905934,-0.09702061574607287,0.004670863160012862,0.24121315725197634,-0.008241712393511378,0.18081421026292124,-0.008521723974577372,0.26995307112315525,0.25727321686597837,-0.26406901155372303,0.045943749594905214,-0.33276290374388073,0.04838743635241726,0.02377041517605381,-0.34515115325009976,0.009605335737248052,0.04816922292319675,-0.2939794465769246,0.14018216062012212,0.032839747473065665,0.20104704164159995,0.3256071688970627,0.29638267039483734,-0.032990941471850194,0.040158384548398686,0.3134176231175065,0.34307523211659674,0.18193850425734318,-0.20205227160150468,-0.10018225130300006,0.01774753011694826,0.011366685182901218,-0.2980311121903578,0.26179028519925596,0.16779475243264022,0.031887639782478806,-0.22939630402263525,-0.25691739371883987,-0.025692409574104128,-0.25656082646228984,-0.3079460179136842,-0.10790249403056935,-0.07503580567594234,0.2774070060742871,0.2780068493733239,0.07063794950257063,-0.23184460584426247,0.001806527103110548,0.37025606513946363,-0.2639424679012299,-0.06636929023770774,0.24352001550865374,0.2341978506613272,0.05969236801336169,0.3426411149117368,-0.03220503142852971,0.25414175676358625,0.16867688277128265,-0.26277587477130065,-0.20451699945865703,0.05809903400964578,0.34206105146025256,0.2512756405876311,0.2145048227913035,-0.23541644258262023,0.013123788533845613,0.10098947352631756,0.2347338711296939,0.26726624834186385,0.19844642791839406,-0.2725763441359366,-0.08436672828291814,-0.27012535450442593,0.07681521533518466,-0.2950867252693118,0.030695387625740353,-0.1836497521122224,0.1521232355210975,0.23290836547185856,0.04448356136731841,-0.2985049319778641,0.15981658629254292
v7,0.03337006646127148,0.09984609481732738,0.35038996608504386,0.47510385400668864,0.05323876822892949,0.19332899690868052,1.0,-0.2266636110417016,-0.054208570831891956,0.014569381076673205,-0.21367536455368333,0.007062744491317053,-0.5635053420868803,0.020534308757810572,-0.40159599459962664,-0.04510464374111998,0.25523198435025296,-0.024424173545192097,-0.3387694920486007,0.14693228197329578,0.01017989893981023,-0.20842684680266937,-0.20417333760824302,0.6155892292699089,0.7394542367368273,-0.2020217459885401,-0.08975871393267458,-0.4426040211550339,-0.3297546922336089,0.09855993852411565,-0.43592080467488414,-0.22932275998144533,-0.24749720707966275,0.032125070265312985,0.3190257887006406,-0.09383971655468591,-0.2956202070866018,-0.17990116788392044,0.7247696267561904,0.3284965568026141,-0.37850647104743723,-0.20392319807756304,-0.35142476211308055,-0.43740812589428674,0.020907831973400022,-0.2514281712286489,-0.2323300530449502,-0.1929479788761918,-0.30750326852624926,0.6289380682011259,-0.4220164210992416,0.03415891326356682,0.6111313219951415,0.42751934456761176,0.010100088843651784,-0.211785439704916,0.3023959642263018,0.220039149045631,-0.24766463081890863,-0.27395686423912313,-0.045735525517876255,-0.34765016847596253,0.05282991338566615,-0.3922451475634129,0.2266187210956357,-0.22737308313465948,-0.15729278526679477,-0.0396643930913386,-0.1154860686227128,0.21535056389492724,-0.3502800960725481,-0.2812377499343127,-0.37624655018195713,-0.39327363324885745,0.08560563488979465,0.33829661288629165,-0.1827848691161481,-0.10633470019245861,-0.7425784133523,0.1964325977396523,0.12368160475309874,-0.8066951363226675,-0.15393500805713856,-0.20526813802933258,0.5216106132661952,0.090857334406168,0.421488474630646,0.2925773486548467,-0.13361203536319263,0.03784686848775135,-0.4599547372155429,-0.18240993550379986,0.38853812642413194,0.10821957189044196,0.046081243055912595,-0.30962908213976675,0.09402011940911778,0.046591094686447815,0.6985898355744607,-0.05249289371783095,-0.2642464095369139,-0.30452593927621535,-0.09196037405960396,-0.2541455585129014,-0.03446269862075765,-0.33685811860810966,-0.19158324602063176,0.17632672422512446,0.2407853596873977,0.09240330182478065,0.03545876876080754,-0.6183932988469109,0.327401935868768
v8,-0.011442150102107024,0.15413445187483615,-0.3627055843199743,-0.16426616498207844,0.0012961146981450467,0.023135363744096582,-0.2266636110417016,1.0,-0.17345603828473657,-0.005829755136293539,-0.18396645086379454,-0.0015601461627863158,0.4282976167265321,0.006944922888384736,0.19078511245456123,-0.11280230652919432,-0.06172373707793712,0.16166955232643973,0.1614177942437446,-0.12812262485915535,0.01524428384184299,0.1696331365090445,0.9426269445404801,0.06122798877286803,-0.16322949245176982,0.15789168713514143,-0.018090346624539597,0.18832008130942257,0.27470476856522613,-0.043712634587718936,0.022524724218857064,0.22638296759982277,0.2355773556791075,-0.0314985984762725,-0.11372198667302202,0.041981584172266544,0.02264665455651921,0.2386654971636685,0.026171082928196296,-0.18217690090460884,-0.17988572419970833,0.9751917446209393,0.15164399213824195,0.09167815644433629,-0.011347293941739127,0.1190889886507121,-0.20738377672082614,0.8540703947625586,0.2692615819572801,-0.28920207742376103,0.5360607178693236,-0.19834689761230953,0.03219933754118523,-0.32790257245667287,-0.033233923233743724,0.9759739958089582,-0.10374335972248609,-0.2137023209359566,0.09966545866384957,0.07697921428528184,0.08604194753540496,0.08304934902929022,-0.05670106996310452,0.16777894231115928,-0.04020598009244337,0.04387827874378174,0.12905944625526888,-0.042879219204999375,0.07693923446777674,-0.3792211404185319,0.2972608280617839,0.13361950204816006,0.3466656095694951,0.1602987161793112,0.01886952786389,-0.12958160606861435,0.8761826963155467,-0.24606599991978917,0.18336310093503422,0.015418240296602038,0.15605779047981133,0.23589115303112257,-0.07368315843623029,0.26890756512834335,-0.29250151253016554,0.028807306008030113,-0.5357266262903566,-0.17099038667200592,0.37446172255706595,0.1686457384985316,0.3549665631096815,0.9171668122632537,-0.20746205303299384,-0.08100657129620524,0.08697278820877136,0.24360828270668528,-0.044667787630961554,-0.08600752804497729,0.04714400449814923,0.2330453840524968,0.3218789552904445,0.20992158974649675,0.09750122786504925,0.2652600378850752,-0.16088203290049852,0.2827907686042513,0.7779177404144025,0.09462696195556886,-0.014817490807592572,0.017530680567536757,-0.018412402695298407,0.31439773414521194,-0.03165440273832744
v9,-0.012566305215448265,-0.021217352134437706,-0.00877610534863511,-0.21069050602210035,-0.17457244862978855,-0.05675657201234774,-0.054208570831891956,-0.17345603828473657,1.0,-0.0253388515075485,-0.19317258872495152,-0.01826650645747649,-0.05422603434760922,-0.06513884282944066,0.43492236122361616,0.25226183800183805,-0.3182929484603833,0.02732308159264596,-0.16302120093182748,0.09421156957912281,-0.06557519290688926,-0.04185162146336549,-0.20700706400911817,-0.21541405418940282,0.011598862651859455,-0.049031346284673386,0.10833945905039763,0.50090146142018,0.14553630028281422,-0.024936219364228667,0.04164379943385527,0.14585768941135566,-0.00925682749628983,0.005453387312608091,0.08036678773854636,0.013286094059744817,0.08648979985481832,-0.12121780898630197,-0.2907728997206017,-0.21037989243366204,-0.018591727558303645,-0.20030373857193762,0.24803717512447412,0.0572199356357806,-0.022629429805489647,0.2215934868556486,-0.15375936505154467,-0.21487995596652676,0.10609155007591156,-0.10748670232032617,-0.0408522965322823,-0.18830240218044456,-0.21697637571685954,-0.017099467919640787,0.04411634656078695,-0.1958572622615588,-0.29372010408444044,0.017544331157596252,0.18796563717978476,-0.13786290876966664,-0.05690236976024121,-0.09236416475092432,0.00872993660942273,0.43861970650646737,-0.324210190481547,0.12964787631717078,-0.14953259895736945,0.3980921557166484,0.16256027282925084,0.17676595090225836,0.09430632672028329,0.2516243133914454,0.011987835164710983,0.47842711692296697,-0.2179936066514349,-0.05720273453299236,-0.20956606608143596,-0.15006912132078393,0.08834145972222038,-0.29790485083072243,-0.40964438257585173,0.09870446889274516,0.047948603305142015,-0.20934411553575016,0.11753900522485855,-0.13417199434807608,0.0411152500823018,-0.2766907325281776,-0.23410533223447683,-0.33662688096523224,-0.17215271380152566,-0.20324652221397882,-0.19925767124289373,-0.2577958347139424,-0.30719668889428686,0.1700635114895257,-0.018402804462151496,0.05772590210057544,-0.27896962933457586,-0.3039687970062675,-0.20334119164708933,0.023319102115254866,0.19106589778350933,0.08055235523328554,0.8360592250404156,0.010333867184541575,-0.18793390492015577,-0.3612389725360986,0.12905306799885805,-0.2830535266280256,-0.03652026568905578,0.0855863692610754,-0.1543651966240074
v10,0.14868021196052011,-0.019901702226720795,0.05005399431096115,0.08219612460145136,0.046747968001254525,0.04154175345572848,0.014569381076673205,-0.005829755136293539,-0.0253388515075485,1.0,0.037135464641802486,0.9118188685795467,-0.018134654059232282,0.6918229011435485,-0.041885783282534214,-0.021200534202317423,0.08426415193438891,-0.0004972233271261052,-0.022992170628608914,0.06975983607795322,0.31270081566473074,-0.05134123406528465,0.0014818184855885327,0.038235727631592914,0.011109562695695956,-0.004960049167226923,0.06670778396718265,-0.036892998349319875,-0.07437035088367336,0.24247261466924938,0.027208933416076924,-0.05569690248237001,-0.027875161582422675,0.007006422685536616,0.010032127099180098,0.19758473122960446,0.051358391026665846,0.014507990281366678,0.022563454339548535,0.08124869879368181,-0.01988929342389117,-0.002587399962398364,-0.09637656454136233,0.026293313751683502,0.42983936168540604,-0.08137556687588408,0.026057900206752613,0.004823601727116687,-0.06901839342797862,0.017831226503324586,-0.03523607061932749,0.07146871498411567,0.04314943872740981,0.07809156531309361,-0.4085933117540919,-0.0013108326583888483,0.08991691264922157,0.08010045510946777,0.04373837737792973,-0.006097079195392821,-0.015554331795423138,0.03162441602460715,0.06591966785651189,-0.057055192122519,0.07948160695815157,0.04558750799169172,0.0031238800028804228,-0.0650993857096249,-0.05682535799606473,0.011299915069783025,-0.0680220091105605,-0.0724022017857948,-0.07015235205518254,-0.007878879883602745,0.062435492457366994,0.05630130098403473,0.0065494037986211385,-0.012579274066942977,0.022624218803100567,0.09288422514894104,-0.04289246494547028,0.005874452454463063,0.0675157197533436,0.042408862599681255,-0.010872817540131028,0.06294470091902733,0.03491337502005086,0.08186178420218812,0.03451695786992622,-0.048275658506873646,-0.021956133755863885,0.005056681017615841,0.09334845440968778,0.060521114605731854,0.05485432096773401,-0.07043291597501489,-0.10171928449429136,0.015300998436726266,0.013190367270410125,0.04652434179157048,0.03324790215844204,-0.09227477851266704,-0.010725888525740945,-0.07328540391221945,0.011993152494393927,-0.08705184639430276,8.89999948075214e-06,-0.02424481284835292,-0.0027872292881080916,0.05675345076623105,0.4921146913547076,-0.06337079502793372,0.02847691111088327
