,target,v1,v2,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v23,v25,v26,v27,v28,v29,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v48,v49,v50,v51,v53,v54,v55,v57,v58,v59,v60,v61,v62,v63,v64,v65,v67,v68,v69,v70,v72,v73,v76,v77,v78,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v108,v109,v111,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v126,v127,v128,v129,v130,v131
target,1.0,-0.006111279419739315,0.037141418478644994,0.05759498366896343,0.022310566339829214,0.031541057192698965,0.03602425624602551,-0.026157067985100944,-0.01130735889561474,0.14904305086799122,0.013215695223637046,0.0019269888965818204,-0.03555907011083801,0.12740910189536572,-0.0355589365915417,-0.009405784241605594,0.05020923498124475,-0.0034116261998316383,-0.04259325396278607,0.03168387557201999,0.07540573227081611,-0.02491906296796789,-0.01945885534831847,0.03055654608425837,0.028641470185137918,-0.013751360644712385,0.021877570150787253,-0.0349290846598969,-0.044426434418308645,0.09234044793527434,-0.004881316531993095,-0.041515250773596586,-0.017935419204187106,0.0779895740817673,0.038982279685742034,-0.025018518234956443,0.01026302235922274,0.0008360276466556948,0.027831473616859417,0.04376104844280741,-0.027426794764005016,-0.017378297529087983,-0.0536605843308499,-0.001279471564108752,0.2767998468683101,-0.04903026121571331,0.010221679386980749,-0.018368580070616054,-0.045017462079539515,0.030421847656758507,-0.03238773359260783,0.030081145204591153,0.03274356416964507,0.04447774005842616,-0.11058348185902879,-0.01805238377899673,0.050988642754215135,0.03961334099404709,0.007718356691596652,-0.02643378805871682,-0.01657748136599577,-0.004807693286430724,0.06846442680940626,-0.03889041672241578,0.04963845136881104,0.005086076871406978,-0.007024858439003198,-0.03109632039163779,-0.03205797444009291,0.020781710226915964,-0.043795970085202425,-0.040794667538334904,-0.049307059926999644,-0.021597632083521626,0.03103984828457149,0.05160007377263769,-0.019211406448647057,-0.009933446434723459,-0.014534062798706043,0.050739581535696694,-0.012566251118219763,-0.02635902636595836,0.021578950841888746,0.008343422167121596,0.022925283035764403,0.034415414365948076,0.03265486311340741,0.050739372578817006,-9.918481367264223e-05,-0.01678955066243526,-0.034270212456292734,-0.01956728660395927,0.052208532459007674,0.031812721581274746,0.028123731402119066,-0.03867405444651089,0.07068285071205543,0.016283354229918532,0.02239297680815639,0.011847716969383701,0.002346859126838187,-0.05522569378318798,0.002342545718521992,-0.04174534902573876,0.0030689834979187886,-0.05538298045404319,-0.016906047692982595,-0.002363052266964685,0.012520830837876971,0.03641611252669908,0.16015261006214568,-0.04868632158694101,0.02462405734773908
v1,-0.006111279419739315,1.0,-0.22082575961824644,-0.11206680963070582,-0.026801746797828412,0.01054809332232728,0.11025063681060904,0.20863777379322457,-0.02174778233952423,-0.028133231150754737,-0.28324651937386514,-0.024204518703388155,0.09148862051404028,-0.018897485548852913,0.05125828324551176,-0.19608131970197976,-0.1334026364515048,0.13190399400625494,-0.017686999376005694,-0.18980715979727117,-0.003272700089997302,0.09082796854737252,0.16786165526331281,0.22918929607139332,0.03974021242276128,0.1007409118020276,-0.20033906930984452,0.051017111129947036,0.41352824219148077,-0.010527806599570599,-0.11545584617067711,0.13799737494207923,0.9261807822795963,-0.013621053442480725,-0.02895228700528259,0.004059378525099226,-0.15213109051885307,0.02717733132124748,0.25980929577938217,-0.15620838782503715,-0.05073878844988602,0.1902004801304337,0.16021394048096307,-0.10414769288199846,-0.006020901988623011,0.1355056411249813,-0.1843997481336927,0.1761652666285977,0.3938832678478985,-0.010288615011350536,0.23220178482311488,-0.17715001219191454,0.04983473979953752,-0.2111299238994897,0.0015543497194354017,0.18096269108029683,-0.13993831739338522,-0.28450034164933546,-0.06300981784218604,-0.02781105875946653,0.10819976534443318,-0.04531231244529005,-0.022612046923373666,0.07067815474335366,-0.13006728318148633,-0.1645557324484645,-0.22302419047854,0.19670750956079475,0.075119446047862,-0.14844842185375162,0.3226950392898504,0.1932365070640456,0.2262181587395822,-0.050379906382686315,-0.0645959264036412,-0.09442085933908718,0.18697688859573333,-0.08417545302426988,-0.20156749281583067,-0.13697040340995317,0.1411201630176438,-0.11038628644483217,-0.22822083142999475,-0.05216726491501878,-0.045126831408298415,-0.12083713319571052,-0.2355622557824844,-0.17551799319602795,0.13283685889147206,0.1593475143130582,0.07813469396442727,0.1943386327962654,-0.1602805821099265,-0.04984531681118578,-0.032212172825993375,0.3756146193711323,-0.00450384956765364,-0.10621122157430672,0.16704833258001636,0.039126152859231864,0.15963029674494836,0.1560081564401338,0.019133480171327665,0.34015566289514715,-0.13618781581504347,0.29104140587307514,0.17904803296038854,0.08025462595900554,-0.003913907392767161,-0.07652923646525336,-0.021211759511337146,0.2725269829256137,0.7510266317239762
v2,0.037141418478644994,-0.22082575961824644,1.0,0.5358929708538074,0.1717466053068476,0.019867474538159947,0.36373668951274174,-0.5490384348595719,-0.010903465931723592,0.06358097254484917,0.22710473313682458,0.043893673568077,-0.45771476121916094,0.06771523523178485,-0.33270713499953386,0.021387585375710737,0.689475157381993,-0.3111541354057336,-0.4824049796819578,0.4581411037710595,0.042148155320661365,-0.20402407074426568,-0.4584450728131879,0.234795764109392,0.24176876744474138,-0.26535850443037734,0.31314381071506764,-0.33402870440725246,-0.6229931110635814,0.0876412602155087,0.006206936593264136,-0.5044266967185143,-0.34485824135152776,0.03826363294116682,0.21344690150013823,-0.06646970983825118,0.17957098070503574,-0.07833028634129514,0.20051008866668524,0.6706579955091013,0.030828733100681408,-0.5156612066466942,-0.7189770994453191,-0.001944116284707982,0.04102864709586454,-0.4904876958321338,0.18417157450418853,-0.4527459162054782,-0.5639070110827575,0.44423134593646724,-0.5845015382825416,0.45939592335386364,0.28758833897684016,0.7343551488762207,-0.014832281651537995,-0.49166515306201114,0.7016581494195224,0.5866534655330313,0.1098642486591906,-0.05847511032848295,-0.08476576668686757,0.08421794996332126,0.0715893162009233,-0.3881215555119064,0.6838158726731963,0.2014651880194177,-0.14542871985216896,-0.3194638411355601,-0.31830278051574407,0.4169365604679782,-0.6262520030494522,-0.45458364702563747,-0.6575377642076063,-0.14408587346504054,0.26854586662896685,0.34985809972701193,-0.4186739048723917,0.2090333308783639,-0.09393264804190611,0.42433264925115066,-0.24388286274607676,-0.24585900921950204,0.3374260147690756,0.002761896892783462,0.18712163582344432,0.23817312958786133,0.5836846283617197,0.6376393265860428,-0.25363459445759107,-0.3049271262898419,-0.3724468122667804,-0.4917049890385759,0.7410958764718438,0.30538667591211655,0.17298118153578954,-0.5970788230772738,0.07329175611119476,0.08270752532042507,0.13650156427384205,-0.027351326853928448,-0.08866346189719733,-0.46165241286849745,-0.08445777943828511,-0.607934731997386,0.1805042655324012,-0.6862781346240375,-0.44081473385314357,-0.08158500584015722,0.01934774497278709,0.3148234941351105,0.07902523787067879,-0.6391205442958294,0.18502533960463352
v4,0.05759498366896343,-0.11206680963070582,0.5358929708538074,1.0,0.29302629561640336,0.36476038941450195,0.48707024048607234,-0.3292941146674578,-0.21782003391656374,0.0777386469830957,0.11942309624282871,0.059374102967389646,-0.5396605063823955,0.11521394461134926,-0.5048027290102146,-0.18091501820071842,0.7854545025615691,-0.11766051303427343,-0.6048234867297909,0.44407276931559386,0.09465718854288495,-0.24821777971951375,-0.23348433744309532,0.5178094060369233,0.44589123880951875,-0.20211354821875976,0.2655268782318453,-0.5488898045180868,-0.6545941332158578,0.11036613073774519,-0.12612699293454974,-0.5558846260428042,-0.2770254307054646,0.08310085368725169,0.4704426847812009,-0.07605436245787327,0.07633538517804296,-0.1396447219242507,0.514710614530908,0.6343979091085767,-0.3105310447626774,-0.20510726259645218,-0.8073832281600004,-0.12945685872267995,0.05499619623089021,-0.6115636858430455,0.03387914901009483,-0.23185423637331712,-0.6083619200304538,0.42776417865387856,-0.40349984794654314,0.4187079806733819,0.5583707204517712,0.6645304205959092,-0.06770511814895366,-0.23537654904495964,0.7973811033165925,0.5580444588411381,0.03838372882833664,-0.2703199073313892,-0.12044945744122833,-0.05047459477393085,0.06595910161596205,-0.5854188227764545,0.778524426606005,0.03773422979146233,-0.04183188786444765,-0.454467406406638,-0.40767420978265445,0.21385571413939078,-0.6243668798404427,-0.6143753171295558,-0.5427982445733305,-0.3252519175357582,0.4005725740157888,0.6829270251091513,-0.207519197451943,-0.0726382634861271,-0.2152973479690887,0.6646709135542297,-0.23765212899142396,-0.3774092246010317,0.24949503894173924,0.21212491861477364,0.2730176468695835,0.3901270110872311,0.39882207581301415,0.7337153213935066,0.060587799691591594,-0.2875762233312715,-0.4569817905997937,-0.2366764708636573,0.8158777045060479,0.4645459144549678,0.398705109644911,-0.6152934644029192,0.08613483315082439,0.11811584046696486,0.4437374117300514,0.22751555826641992,0.1281121745405661,-0.6280737501733697,-0.03811465076864247,-0.577198222421144,0.03150295855670751,-0.677319730000022,-0.1677739043128877,-0.08731619447535958,0.265201234531283,0.4750532112380916,0.11197703615500558,-0.7126902725694029,0.3255606048425636
v5,0.022310566339829214,-0.026801746797828412,0.1717466053068476,0.29302629561640336,1.0,0.3170061738675768,0.04811446890938461,0.14689356934103778,-0.20661398075793838,0.03788521044963135,0.11246493415395448,0.034435719461928645,0.01746710229899268,0.09018250194246377,-0.19264112295616495,-0.08329745742526017,0.48550094908898733,0.3238708858265772,-0.18227105897424006,0.4121894132537003,0.09464971356133169,-0.10390594217159882,0.21202166947689632,0.3264197963622574,-0.06034802511994708,0.3622035904751893,0.45713985672879554,-0.11118739108417909,-0.32550161590813875,0.03285389270613655,0.21596157084731743,-0.42477250225686136,-0.04379480051409257,0.006587209571035302,-0.060739154657924156,-0.006451868459828473,0.3676577522319249,0.27708182097276535,0.17110454663384508,0.47320030149053266,0.00889156447785106,0.18298836152428422,-0.46449921686783274,0.2473479596988245,0.026754400612451608,-0.7341227272731686,0.053239458930387736,0.21873767678596126,-0.28415872795586505,0.14322678681299822,0.12081843922806171,0.49039683389994865,0.34706725764703833,0.22640558625315851,-0.05537516065892436,0.2068191284419283,0.48611002565614897,0.4333434955555523,0.38242707985073504,0.23964535949512408,-0.021511047215375414,0.43462252339367846,-0.005932229027665193,-0.2676493804701454,0.4823328342979721,0.44945545139171195,-0.03581462345466339,-0.36794524937189205,-0.9197979539769437,0.06305889350108569,-0.31237127766371414,-0.3046691719035693,-0.12778834645840012,0.05023626710884029,0.8095091032831961,0.1105860792723875,0.23453191114976432,0.060286186544319866,0.213316283551875,0.6552887127561275,-0.2164236589186588,0.11842012079919552,0.424773214780856,0.3791258263449734,-0.19454981618739559,0.46632001494557757,-0.12200499497671036,0.4454107115251789,0.5112255484424076,-0.2180074134319839,0.040574716106225504,0.2840727062140104,0.4610061916334873,0.7921126079314016,0.6243229519598833,-0.32402528083116044,0.011692183503934597,0.021906069372903885,0.12033280723432699,0.7077862810917362,0.3456366353078983,-0.0678822212200158,-0.30248552078139,-0.3666381388654777,0.007992561319083087,-0.2550377871217928,0.1988887091853863,-0.14603781207916172,-0.21366834213797778,0.8332833405331717,0.0533501634612114,-0.2649761094462374,0.21648572897366766
v6,0.031541057192698965,0.01054809332232728,0.019867474538159947,0.36476038941450195,0.3170061738675768,1.0,0.20219123921798612,0.05030683164640011,-0.08508453825617004,0.03859226235340369,0.05870784888577869,0.03459178348713661,-0.15578537334297501,0.07019298821172626,-0.2567923749987987,-0.14450858966839125,0.34534761260159913,0.17941403232797454,-0.31846624806444784,0.29845754408098024,0.06753244734774837,-0.13547240037872704,0.08534657980013272,0.35628765073766516,0.1774057792566906,0.08773919056687267,0.2774661242277183,-0.21942227683299179,-0.24404941829708268,0.029304573025717384,0.05064770997472933,-0.1919121519219963,-0.05420060219922833,0.028563179513122056,0.20707176587224474,-0.00689502436113598,0.20942671232577603,0.07349110462185998,0.27990861302974,0.24882325444501951,-0.2175816098166707,0.12017526324683202,-0.3308921008348671,0.093533559491337,0.02421311763284695,-0.35086184017113226,-0.0026668587419953873,0.0895995931530432,-0.24762458403420604,0.1481090186724509,0.03970262152313467,0.24204744434069922,0.36752158559222736,0.23286054324206215,-0.0455679817884432,0.10330864669542195,0.3462046970641331,0.29252545797578444,0.21993203705239342,-0.09324488798803468,-0.10286616246318976,0.06719768887831132,0.017005795580019682,-0.30986149461229795,0.3431754958120951,0.19691504163991794,0.024324631455125326,-0.23031766846213905,-0.3011961349869028,-0.020564112996092645,-0.22285364397173424,-0.2824844047092755,-0.0896148042065753,-0.08519068677068607,0.3189174117776491,0.30271316735371206,0.12543363283042644,-0.19136430212738983,0.015693789077999686,0.431323228556195,-0.22246592454420897,-0.07446681524276029,0.2492851782430146,0.2756261809926932,0.027424392224271756,0.410424016760293,-0.03801084956233159,0.2839584775560218,0.24686872302289506,-0.21363748882803293,-0.17978976030677093,0.1121879607523202,0.3347108571091893,0.32775178464013527,0.3080334818213193,-0.21270914691858034,0.012502777157789201,0.10253558860397176,0.23761347529981255,0.3039253009441784,0.24216534225072275,-0.2384578897914267,-0.09830429087378226,-0.23293028111943367,0.06444584540713243,-0.22149408108292135,0.13308843637647907,-0.1546774067931421,0.09005238232287972,0.3331808548660259,0.06103466881925547,-0.2658174428832944,0.19486891130019587
v7,0.03602425624602551,0.11025063681060904,0.36373668951274174,0.48707024048607234,0.04811446890938461,0.20219123921798612,1.0,-0.33735913953902896,-0.06513098239045059,0.02768549039221929,-0.20488073932313267,0.020103788290783554,-0.6021760333145907,0.02565805739236995,-0.40088771697162273,-0.047673260613389716,0.31958197463884536,-0.126697330225998,-0.7051765090955681,0.09867045806251272,0.009989694573202134,-0.14364551716786234,-0.32951206454738086,0.5853248673989646,0.7328704114624396,-0.19078171674724662,-0.11156798493351056,-0.4601524352292761,-0.32261751910247016,0.09984570359786495,-0.42107016336800934,-0.255330950783996,-0.21745123955029477,0.040529850663223295,0.3080955351387804,-0.09414598448099401,-0.2868921675415072,-0.15722359359068275,0.7119946870472057,0.32401879772604814,-0.3716935028896854,-0.29704186620363754,-0.34883252415140137,-0.4253756556542703,0.020833390169817303,-0.2574415204423275,-0.2263736529583151,-0.3377173073330686,-0.30121090306022413,0.6373651462225011,-0.41451410173916825,0.04881499401255433,0.5804908710890918,0.4373364673380373,0.0018448673172505876,-0.32479600504290346,0.3355613179385825,0.18155998051059913,-0.25309901667073753,-0.16828287757085664,-0.0649936119382363,-0.3314200539730844,0.053529670323696404,-0.3847795584870844,0.31094606730122115,-0.22562747782245124,-0.17042903595974393,-0.0462398921422023,-0.125215701570671,0.2462445075324175,-0.34903838450404273,-0.27209656818611844,-0.39735567332228305,-0.40531241449307087,0.08292721995017018,0.3557719591883731,-0.32568125218982014,-0.09076717627670716,-0.8143099096954652,0.21525513812872238,0.22778957019731372,-0.907964511626543,-0.1585825598482024,-0.20268821709780482,0.5246353027773943,0.07687465031745144,0.41255467610904717,0.31014849948039563,-0.19342404396796875,0.11875777993156175,-0.4793113929820017,-0.3101775664717006,0.379413297375177,0.12715300848756791,0.037174698104777706,-0.30271031663157694,0.09825066391859098,0.06595164780872886,0.6808987392544638,-0.07254712853170146,-0.2598091257022892,-0.3239130355280736,-0.10122825338569014,-0.2404164563381785,-0.035724895436355056,-0.3660307393282281,-0.3091173267123016,0.3289878726233379,0.2584079953196277,0.10952690929946667,0.04422756074744857,-0.6574185840740194,0.3426869451243166
v8,-0.026157067985100944,0.20863777379322457,-0.5490384348595719,-0.3292941146674578,0.14689356934103778,0.05030683164640011,-0.33735913953902896,1.0,-0.19552805471242354,-0.04129375242730486,-0.3035330053214857,-0.02309065822877705,0.5994619350090173,-0.010127335373490965,0.30233957889522267,-0.08714140442028179,-0.19383587085831414,0.529033884812617,0.43051719118809084,-0.2565259387897372,0.01720646346451125,0.2383230502031676,0.916798352967047,0.009547084051260374,-0.234479167960779,0.4978795775689257,-0.1262383805142811,0.3097661297782326,0.4484015967462014,-0.05971271925319209,-0.0648402401588873,0.5610864979109069,0.32089171738998185,-0.05601681447761435,-0.40666945583108655,0.055953979503098245,-0.09173949977225655,0.21971516406095945,-0.012357492976464738,-0.1755171777483175,-0.1630582783783782,0.931712431381049,0.26156487810755485,0.0155166514605686,-0.02221414347601038,0.1343545296713596,-0.3058644520308675,0.9068411731353901,0.45067374620392153,-0.38917537565143295,0.7832180548694069,-0.2793072147989722,-0.0309908122346848,-0.5827751041423676,-0.030577130776316564,0.9281737417853513,-0.2171621104196627,-0.3862931265394448,0.03131096023709513,0.2732906707021497,0.177926797226866,0.07618455140650256,-0.0786681542816898,0.30478232188313087,-0.18386920922541825,0.04068383445313691,0.14177376215993567,0.04102547768922486,0.10078254574472921,-0.7125872554638718,0.45929846416041087,0.2767503873553124,0.5914974943401342,0.21610707714357533,0.0044749644209675175,-0.42976329611577485,0.9132118989454963,-0.2686879098199977,0.17905033900326078,-0.014796947927065108,0.2067793478030314,0.2842607275723754,-0.21114142799620972,0.2750862857551506,-0.36521723694332164,0.0006526875187697884,-0.7817125650421366,-0.3425023545077198,0.504581207125099,0.25380558550879445,0.5240216874444763,0.983583151960226,-0.30680474826845666,-0.1357310821918123,0.12116522919765585,0.38077442091232117,-0.057669678740513056,-0.17570676025587423,0.03225740868062805,0.44750978113668155,0.34777515904752004,0.4683549154826649,-0.005778537366943098,0.4397177918784697,-0.24212700722974845,0.5730718505051124,0.8417191449615169,0.0767296967285682,-0.040738281437102175,-0.07134841004081365,-0.033775856930114485,0.49366205778775424,-0.067649032464011
v9,-0.01130735889561474,-0.02174778233952423,-0.010903465931723592,-0.21782003391656374,-0.20661398075793838,-0.08508453825617004,-0.06513098239045059,-0.19552805471242354,1.0,-0.017677053882925953,-0.19292574434128015,-0.012409953920015468,0.01883094187461758,-0.056551161590580476,0.4930244729226894,0.24363975983752761,-0.24495854859011834,0.014469741369779932,-0.18738616377155728,0.012758490737933238,-0.06186268914823128,-0.04937500706811231,-0.26022327725956634,-0.22035279720464007,0.019433182122881885,-0.055286039875871745,0.05373091424373017,0.5205807963139698,0.18306844967423355,-0.024153407975294194,0.027346232876940553,0.10615520162837941,0.00022896705512974596,-0.011735576039350298,0.1140776094831605,0.010908936318123586,0.04854172633000563,-0.12615973267080585,-0.27202667973524436,-0.20248591150296366,-0.03089648896204706,-0.2789297457744558,0.2582378950180352,0.03461649335934575,-0.02268174317277725,0.26253176874220874,-0.15558563114874258,-0.27819459863868956,0.1364294466350215,-0.13630590400526693,-0.01591778021048223,-0.19556016855256497,-0.2227006677848619,-0.07246405768392249,0.05218967617365366,-0.27495648672054795,-0.24551215471722115,-0.050252819037461774,0.13532720772770013,-0.19886010944596672,-0.06211653056741623,-0.09666916679664204,0.009431657197062506,0.4862092922421572,-0.2433301469999586,0.08417717332034697,-0.13890410110383464,0.3998122464946784,0.16586154136003603,0.21218790765474885,0.1313916746619631,0.28342900682582267,0.02874355508614104,0.5110047331431866,-0.21910190374464403,-0.06436017506592087,-0.2536650978252081,-0.18081600436642595,0.0853935403271496,-0.27256623195227636,-0.3780767898341342,0.10652363132399822,0.008488089932493349,-0.20836230348952753,0.12437490596654927,-0.17594129931650448,0.015550845459149691,-0.2536460103913646,-0.24949692242029656,-0.3122396147910556,-0.10992041972363417,-0.2383471491932676,-0.23429445994442016,-0.20571336055345749,-0.2796706609788693,0.19988029579366004,-0.01529888065942767,0.06166997143076127,-0.26210870688227816,-0.3031637837222881,-0.2027503996121677,0.086868732733189,0.215169412513041,0.12158281654443139,0.8140725768587709,0.08932739030245304,-0.28100023643304195,-0.3631198413911371,0.1501118918887141,-0.24405283068499722,-0.04118035685121338,0.17347566465651276,-0.14362158470214417
v10,0.14904305086799122,-0.028133231150754737,0.06358097254484917,0.0777386469830957,0.03788521044963135,0.03859226235340369,0.02768549039221929,-0.04129375242730486,-0.017677053882925953,1.0,0.03669241236892246,0.742351442256207,-0.042893945240612776,0.6360737871220881,-0.048630112866842976,-0.015848906720176054,0.07853216533000125,-0.013257716059022793,-0.05184067429631918,0.0635579881322195,0.3026726090380159,-0.0384450115421972,-0.027502204643341622,0.03387198395287148,0.023847986269591993,-0.019304348414677208,0.05551669752536191,-0.04566026581660195,-0.0730370061155787,0.22670615626199297,0.01489266324816341,-0.06406321020038101,-0.03630047398433512,0.026856800443958797,0.04892050757486723,0.14261184252759151,0.041034985866169466,0.004430281499511917,0.020194265931786935,0.07233075948294075,-0.017322975209344244,-0.03100359713153278,-0.08263288389979243,0.01580749180158155,0.4432880492626073,-0.07503923062298616,0.026233979677497497,-0.029717108693280966,-0.07028135821469471,0.03207043652768466,-0.05625662395540312,0.06675315980603196,0.04223374128955637,0.07029958280455989,-0.3851914280852961,-0.02914967515251634,0.07963975126268641,0.07394392966125764,0.03192422535744424,-0.02423123253413872,-0.0190374887659651,0.017530889883717735,0.05334816281690769,-0.06028019578555347,0.07779321782662266,0.0320142456325304,0.000364573259628485,-0.058923533305808726,-0.050583941437804106,0.033550651825513776,-0.06902148579670213,-0.0676158481952809,-0.07429364516730803,-0.015991392259537066,0.04778894780027268,0.07216520332194587,-0.028277572977987664,-0.0004330736002407469,0.011107795708794261,0.07934809564361271,-0.0403620537523236,-0.009916274471263512,0.05763858608034485,0.025670442500051134,0.006753443247792139,0.053813398095754056,0.05594980678766195,0.08161170399753118,0.011501061392636772,-0.04248184654127922,-0.04223079799263637,-0.031164503782993597,0.08145674104946408,0.054511856261845265,0.04141241416530479,-0.06824789446873744,-0.058498429684173014,0.01875354995174595,0.012971646479148965,0.02217168462676384,0.012425681185118723,-0.08336620429503912,-9.764951360850668e-05,-0.07115129458990352,0.015573637466818379,-0.0850508766615053,-0.02673646903052696,-0.02154577888697878,0.008915942999980699,0.054968423133778754,0.4479259990356007,-0.06619699536041032,0.017456101406756852
